SOBAODANH,diem_trung_binh
18000834,4.15
18000835,3.5625
18000836,5.0575
18000837,4.12
18000838,3.8125
18000839,4.47
18000840,4.9075
18000841,5.2825
18000842,3.875
18000843,4.27
18000844,4.5375
18000845,4.425
18000846,4.1625
18000847,4.8075
18000848,4.4075
18000849,4.1825
18000850,4.72
18000851,4.375
18000852,4.875
18000853,4.8125
18000854,4.1825
18000855,4.6875
18000856,4.5
18000857,4.875
18000858,4.0
18000859,3.775
18000860,3.7199999999999998
18000861,5.4325
18000862,4.72
18000863,4.8075
18000864,4.9
18000865,4.5325
18000866,4.97
18000867,3.75
18000868,3.7824999999999998
18000869,3.5
18000870,4.0325
18000871,4.5
18000872,4.875
18000873,4.0
18000874,4.47
18000875,5.12
18000876,4.345
18000877,4.795
18000878,4.1875
18000879,4.3075
18000880,4.775
18000882,4.1825
18000883,3.4375
18000884,2.9375
18000885,5.52
18000886,5.4625
18000887,4.9075
18000888,4.97
18000889,5.0575
18000890,4.545
18000891,4.25
18000892,4.6875
18000893,5.2825
18000894,4.845
18000895,4.65
18000896,4.275
18000897,3.9
18000898,3.625
18000899,4.5625
18000900,4.1875
18000901,4.27
18000902,5.6875
18000903,4.5575
18000904,4.1875
18000905,4.8375
18000906,4.845
18000907,3.875
18000908,3.7824999999999998
18000909,3.7824999999999998
18000910,4.4375
18000911,3.225
18000912,3.995
18000913,4.22
18000914,5.15
18000915,4.6825
18000917,2.7
18000918,3.6375
18000919,4.095
18000920,5.525
18000921,3.8625
18000922,4.845
18000923,4.2825
18000924,4.095
18000925,4.75
18000926,4.4075
18000927,4.595
18000928,4.45
18000929,3.95
18000930,5.65
18000931,3.75
18000932,4.3375
18000933,4.6575
18000934,4.2075
18000935,3.8375
18000936,3.9074999999999998
18000937,4.2125
18000938,4.5
18000939,3.625
18000940,3.9375
18000941,3.9625
18000942,5.3075
18000943,4.3125
18000944,2.9
18000945,4.025
18000946,5.3125
18000947,4.6575
18000948,4.9075
18000949,3.7824999999999998
18000950,4.875
18000951,4.625
18000952,4.945
18000953,4.6875
18000954,4.625
18000955,5.3375
18000956,4.6825
18000957,4.25
18000958,5.2825
18000959,4.4075
18000960,4.875
18000961,4.345
18000962,5.345
18000963,4.7
18000964,4.1825
18000965,4.2825
18000966,5.15
18000967,3.4699999999999998
18000968,5.05
18000969,5.2125
18000970,4.3825
18000971,4.1125
18000972,4.22
18000973,5.175
18000974,4.5625
18000975,4.3125
18000976,3.7
18000977,4.2825
18000978,4.25
18000979,3.3125
18000980,4.9375
18000981,4.175
18000982,3.7625
18000983,3.62
18000984,3.75
18000985,4.4375
18000986,3.8625
18000987,3.6574999999999998
18000988,4.97
18000989,4.65
18000990,3.87
18000991,5.25
18000992,4.125
18000993,5.3
18000994,4.4075
18000995,5.25
18000996,4.095
18000997,3.8449999999999998
18000998,5.07
18000999,3.95
18001000,4.375
18001001,4.8125
18001002,4.1575
18001003,4.675
18001004,3.8325
18001005,4.4075
18001006,5.1825
18001007,3.9875
18001008,5.42
18001009,4.7825
18001010,4.125
18001011,4.37
18001012,4.245
18001013,3.6574999999999998
18001014,3.5
18001015,3.6875
18001016,5.3125
18001017,4.65
18001018,3.2625
18001019,4.8375
18001020,4.775
18001021,4.22
18001022,4.4
18001023,5.145
18001024,4.25
18001025,5.3375
18001026,3.9375
18001027,3.9375
18001028,5.0575
18001029,5.5625
18001030,4.5125
18001031,4.7125
18001032,5.0625
18001033,4.5
18001034,4.4875
18001035,5.495
18001036,4.6
18001037,5.75
18001038,4.2325
18001039,5.3075
18001040,4.4075
18001041,4.095
18001042,5.375
18001043,4.22
18001044,4.85
18001045,4.4375
18001046,4.9075
18001047,5.045
18001048,5.62
18001049,4.4075
18001050,3.675
18001051,3.4375
18001052,4.875
18001053,4.9375
18001054,5.25
18001055,4.9075
18001056,2.875
18001057,4.9325
18001058,4.345
18001059,4.2825
18001060,4.625
18001061,4.4625
18001062,4.25
18001063,5.645
18001064,3.4625
18001065,4.25
18001066,5.1
18001067,4.125
18001068,4.22
18001069,3.0
18001070,4.47
18001071,4.1875
18001072,3.7824999999999998
18001073,4.875
18001074,4.47
18001075,4.4075
18001076,4.5325
18001077,4.4075
18001078,3.7875
18001079,4.5575
18001080,4.345
18001081,5.3125
18001082,4.0625
18001083,5.0
18001084,2.87
18001085,4.625
18001086,4.2575
18001087,4.1875
18001088,5.0375
18001089,4.75
18001090,3.0875
18001091,3.5949999999999998
18001092,4.12
18001093,3.3449999999999998
18001094,5.325
18001095,4.8375
18001096,4.92
18001097,4.72
18001098,4.42
18001099,4.125
18001100,5.5
18001101,5.125
18001102,4.3125
18001103,4.6125
18001104,5.025
18001105,4.8125
18001106,4.2125
18001107,4.845
18001108,2.0
18001109,5.4075
18001110,4.395
18001111,3.6574999999999998
18001112,4.0875
18001113,3.4375
18001114,4.75
18001115,2.4375
18001116,3.9625
18001117,3.4125
18001118,4.6875
18001119,4.775
18001120,4.55
18001121,4.9325
18001122,4.4075
18001123,4.1875
18001124,4.375
18001125,5.22
18001126,4.875
18001127,5.3875
18001128,3.75
18001129,5.0825
18001130,4.0575
18001131,3.75
18001132,4.5625
18001133,5.1575
18001134,4.4375
18001135,4.4575
18001136,5.3125
18001137,2.9699999999999998
18001138,4.4625
18001139,3.4375
18001140,4.22
18001141,4.3125
18001142,4.775
18001143,5.4575
18001144,4.3125
18001145,4.8075
18001146,4.3125
18001147,5.2075
18001148,4.995
18001149,3.8449999999999998
18001150,4.5
18001151,5.47
18001152,3.5
18001153,4.9075
18001154,4.345
18001155,3.8125
18001156,3.9375
18001157,4.757499999999999
18001158,4.245
18001159,5.0625
18001160,3.75
18001161,3.8125
18001162,5.7125
18001163,4.9
18001164,3.75
18001165,4.25
18001166,4.5
18001167,4.1875
18001168,4.4375
18001169,4.5
18001170,3.8125
18001171,3.8449999999999998
18001172,4.4375
18001173,4.8075
18001174,3.75
18001175,4.6375
18001176,5.6575
18001177,4.495
18001178,4.345
18001179,4.4575
18001180,3.875
18001181,5.72
18001182,3.8449999999999998
18001183,5.3125
18001184,4.9075
18001185,4.5
18001186,5.525
18001187,5.3325
18001188,3.775
18001189,4.8125
18001190,4.375
18001191,3.9074999999999998
18001192,4.25
18001193,4.25
18001194,4.5625
18001195,4.72
18001196,4.345
18001197,3.8
18001198,4.75
18001199,3.62
18001200,4.1875
18001201,5.0
18001202,4.345
18001203,3.625
18001204,5.92
18001205,4.47
18001206,5.2075
18001207,5.2125
18001208,4.55
18001209,5.17
18001210,4.6575
18001211,4.72
18001212,4.4825
18001213,4.8325
18001214,4.9075
18001215,3.7824999999999998
18001216,5.675
18001217,4.2
18001218,2.125
18001219,2.9166666666666665
18001220,4.1875
18001221,5.125
18001222,4.8125
18001223,4.625
18001224,4.72
18001225,5.3125
18001226,3.8
18001227,4.995
18001228,4.3075
18001229,5.1875
18001230,5.145
18001231,5.3375
18001232,5.645
18001233,3.875
18001234,4.3125
18001235,4.3125
18001236,4.47
18001237,4.72
18001238,4.7125
18001239,5.4075
18001240,5.1575
18001241,2.9375
18001242,3.6125
18001243,3.5625
18001244,3.1875
18001245,4.9375
18001246,5.45
18001247,4.245
18001248,4.1875
18001249,4.22
18001250,4.77
18001251,3.4375
18001252,4.875
18001253,4.4375
18001254,3.875
18001255,4.0
18001256,4.5625
18001257,4.75
18001258,4.095
18001259,4.0325
18001260,3.0625
18001261,4.5
18001262,5.245
18001263,4.775
18001264,4.8125
18001265,4.5625
18001266,3.875
18001267,4.22
18001268,4.22
18001269,3.9699999999999998
18001270,3.8125
18001271,4.65
18001272,5.025
18001273,4.6875
18001274,4.65
18001275,4.7825
18001276,4.325
18001277,4.075
18001278,3.4375
18001279,4.8325
18001280,3.9074999999999998
18001281,3.875
18001282,4.4075
18001283,4.245
18001284,3.6875
18001285,4.375
18001286,3.875
18001287,4.0325
18001288,4.5
18001289,4.8125
18001290,4.1575
18001291,5.125
18001292,4.9075
18001293,5.0825
18001294,4.095
18001295,4.125
18001296,5.0625
18001297,4.345
18001298,4.8325
18001299,4.595
18001300,4.4075
18001301,5.0875
18001302,5.345
18001303,4.47
18001304,3.125
18001305,3.0
18001306,3.625
18001307,4.6825
18001308,5.375
18001309,4.62
18001310,5.4575
18001311,3.5625
18001312,4.5625
18001313,4.5
18001314,3.5949999999999998
18001315,4.395
18001316,4.595
18001317,3.625
18001318,4.7875
18001319,3.8125
18001320,4.495
18001321,3.9074999999999998
18001322,3.6574999999999998
18001323,5.5
18001324,4.6575
18001325,3.6875
18001326,2.125
18001327,4.8625
18001328,4.4825
18001329,4.5625
18001330,3.4625
18001331,3.7875
18001332,4.7375
18001333,4.22
18001334,4.775
18001335,4.0625
18001336,3.6875
18001337,3.9074999999999998
18001338,4.0
18001339,4.875
18001340,4.0325
18001341,5.0
18001342,4.2825
18001343,3.6574999999999998
18001344,5.0325
18001345,4.8075
18001346,4.9075
18001347,4.25
18001348,4.525
18001349,3.4375
18001350,4.875
18001351,4.5
18001352,4.2825
18001353,3.8875
18001354,4.6875
18001355,4.6625
18001356,4.4
18001357,4.8
18001358,4.1875
18001359,3.6625
18001360,4.9375
18001361,3.9125
18001362,4.595
18001363,4.375
18001364,4.9075
18001365,4.5325
18001366,4.0575
18001367,5.0625
18001368,4.4375
18001369,5.0
18001370,4.575
18001371,4.345
18001372,4.8325
18001373,4.5625
18001374,3.625
18001375,4.9075
18001376,4.4375
18001377,3.7824999999999998
18001378,4.0325
18001379,3.375
18001380,2.525
18001381,4.1875
18001382,4.4075
18001383,4.3125
18001384,4.8125
18001385,4.2825
18001386,4.22
18001387,3.6875
18001388,3.525
18001389,5.0625
18001390,3.125
18001391,5.0625
18001392,3.0375
18001393,3.5
18001394,4.9375
18001395,3.87
18001396,4.125
18001397,4.4
18001398,4.9575
18001399,3.9375
18001400,4.8125
18001401,4.47
18001402,4.1575
18001403,5.4825
18001404,4.7
18001405,4.8
18001406,3.4625
18001407,3.2125
18001408,5.095
18001409,4.62
18001410,4.0625
18001411,4.5325
18001412,4.375
18001413,3.8375
18001414,4.6125
18001415,4.5
18001416,4.5325
18001417,4.625
18001418,5.0575
18001419,4.845
18001420,5.4625
18001421,2.9625
18001422,4.2825
18001423,4.45
18001424,4.375
18001425,4.095
18001426,5.3075
18001427,5.3125
18001428,5.37
18001429,4.9075
18001430,4.47
18001431,4.595
18001432,4.7825
18001433,4.8625
18001434,4.75
18001435,5.0625
18001436,4.6575
18001437,4.845
18001438,4.275
18001439,4.12
18001440,5.545
18001441,4.4875
18001442,3.7575
18001443,4.5625
18001444,5.22
18001445,4.125
18001446,4.5575
18001447,5.575
18001448,4.4375
18001449,4.9875
18001450,3.8125
18001451,3.875
18001452,4.3125
18001453,5.1575
18001454,4.8125
18001455,4.3125
18001456,4.6825
18001457,5.345
18001458,4.595
18001459,4.12
18001460,5.47
18001461,5.0575
18001462,5.375
18001463,4.675
18001464,4.4375
18001465,4.875
18001466,4.3125
18001467,4.6875
18001468,4.5625
18001469,5.145
18001470,4.0325
18001471,4.125
18001472,4.5325
18001473,5.3375
18001474,4.345
18001475,5.0625
18001476,4.3125
18001477,4.4375
18001478,3.875
18001479,3.1875
18001480,4.6875
18001481,4.0
18001482,4.045
18001483,4.87
18001484,4.15
18001485,4.125
18001486,4.095
18001487,4.97
18001488,4.75
18001489,3.6875
18001490,3.6574999999999998
18001491,5.47
18001492,4.15
18001493,5.4575
18001494,4.05
18001495,4.125
18001496,4.22
18001497,5.125
18001498,3.6875
18001499,4.125
18001500,3.6574999999999998
18001501,4.6575
18001502,4.2825
18001503,3.9375
18001504,4.1575
18001505,3.875
18001506,3.5666666666666664
18001507,4.22
18001508,4.3625
18001509,4.6575
18001510,4.095
18001511,4.8125
18001512,4.47
18001513,4.9075
18001514,4.2825
18001515,4.645
18001516,5.1875
18001517,4.3
18001518,4.25
18001519,3.4375
18001520,4.0575
18001521,4.5
18001522,4.3375
18001523,3.5
18001524,4.1575
18001525,4.8125
18001526,4.125
18001527,4.22
18001528,3.6875
18001529,3.5625
18001530,4.1825
18001531,4.22
18001532,4.0625
18001533,5.0625
18001534,5.0625
18001535,4.125
18001536,3.625
18001537,4.4075
18001538,4.4575
18001539,5.125
18001540,4.625
18001541,5.125
18001542,4.3125
18001543,4.095
18001544,4.3125
18001545,3.75
18001546,3.875
18001547,4.4375
18001548,4.8125
18001549,4.1875
18001550,3.7824999999999998
18001551,4.625
18001552,4.5325
18001553,3.95
18001554,5.25
18001555,4.1825
18001556,4.8125
18001557,4.4075
18001558,4.75
18001559,5.495
18001560,4.27
18001561,4.0625
18001562,4.4375
18001563,3.8075
18001564,4.6575
18001565,5.15
18001566,4.4375
18001567,3.1375
18001568,5.0
18001569,4.3075
18001570,3.6574999999999998
18001571,3.375
18001572,4.125
18001573,3.75
18001574,4.7875
18001575,5.395
18001576,3.0700000000000003
18001577,4.595
18001578,5.4375
18001579,2.9575
18001580,3.2199999999999998
18001581,5.0625
18001582,3.5324999999999998
18001583,4.025
18001584,4.8375
18001585,4.22
18001586,4.9075
18001587,4.175
18001588,4.0325
18001589,4.97
18001590,4.175
18001591,4.1575
18001592,4.4075
18001593,4.72
18001594,4.4075
18001595,5.1875
18001596,4.875
18001597,4.2825
18001598,4.725
18001599,4.45
18001600,5.1575
18001601,4.0625
